date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2024-03-07,NIFTY,VWAP,CALL,NEUTRAL,0.112,11:00:00,11:05:00,22505.25,22460.24,0.0,45.01,1,50,50,22487.3,-947.5,-1099.93,-0.1,NO_MOVE_EXTENDED
2024-03-12,NIFTY,VWAP,PUT,NEUTRAL,0.065,10:40:00,10:45:00,22350.55,22395.25,0.0,44.7,1,50,50,22333.2,917.5,765.84,0.07,Hard close (15:15)
2024-03-13,NIFTY,ORB,PUT,BULLISH,0.441,11:00:00,11:05:00,22245.8,22312.72,22097.62,66.92,1,50,50,22080.2,8330.0,8179.6,0.74,TP hit
2024-03-14,NIFTY,ORB,CALL,NEUTRAL,0.007,11:30:00,11:35:00,22136.35,22070.27,22193.25,66.08,1,50,50,22195.2,2892.5,2741.53,0.25,TP hit
2024-03-15,NIFTY,ORB,PUT,BEARISH,-0.398,10:55:00,11:00:00,21975.15,22041.2,21856.9,66.05,1,50,50,21943.9,1612.5,1462.78,0.13,NO_MOVE_EXTENDED
2024-03-20,NIFTY,SMC,PUT,NEUTRAL,0.154,12:15:00,12:20:00,21857.95,21889.05,21795.75,31.1,1,50,50,21865.85,-345.0,-494.33,-0.05,NO_MOVE_TREND_LOST
2024-03-21,NIFTY,SMC,CALL,BULLISH,0.617,12:15:00,12:20:00,21986.1,21931.3,22095.7,54.8,1,50,50,22001.0,695.0,545.0,0.05,NO_MOVE_TREND_LOST
2024-03-28,NIFTY,ORB,CALL,NEUTRAL,0.074,10:35:00,10:40:00,22348.05,22281.26,22413.47,66.79,1,50,50,22330.6,-922.5,-1074.15,-0.1,NO_MOVE_EXTENDED
2024-04-04,NIFTY,ORB,PUT,BULLISH,0.653,10:50:00,10:55:00,22315.4,22382.75,22200.5,67.35,1,50,50,22417.0,-5030.0,-5182.08,-0.46,SL hit
2024-04-12,NIFTY,PDH_PDL,CALL,NEUTRAL,-0.254,11:15:00,11:20:00,22687.25,22641.88,22732.62,45.37,1,50,50,22623.9,-3217.5,-3370.62,-0.3,SL hit
2024-04-19,NIFTY,ORB,CALL,BEARISH,-0.836,11:50:00,11:55:00,21905.5,21839.89,22010.9,65.61,1,50,50,22015.35,5442.5,5292.43,0.48,TP hit
2024-04-25,NIFTY,VWAP,PUT,BEARISH,-0.425,10:50:00,10:55:00,22347.8,22392.5,0.0,44.7,1,50,50,22432.1,-4165.0,-4317.16,-0.39,SL hit
2024-05-06,NIFTY,VWAP,CALL,BULLISH,0.467,11:55:00,12:00:00,22519.35,22474.31,0.0,45.04,1,50,50,22470.9,-2472.5,-2624.85,-0.23,SL hit
2024-05-07,NIFTY,SMC,CALL,NEUTRAL,0.141,10:55:00,11:00:00,22344.0,22288.9,22454.2,55.1,1,50,50,22288.9,-2805.0,-2956.44,-0.26,SL hit
2024-05-08,NIFTY,VWAP,CALL,BEARISH,-0.329,11:15:00,11:20:00,22287.8,22243.22,0.0,44.58,1,50,50,22296.9,405.0,253.52,0.02,Hard close (15:15)
2024-05-09,NIFTY,SMC,CALL,BEARISH,-0.367,13:25:00,13:30:00,22049.05,22011.05,22125.05,38.0,1,50,50,22066.8,837.5,687.17,0.06,NO_MOVE_TREND_LOST
2024-05-15,NIFTY,VWAP,PUT,NEUTRAL,0.143,11:25:00,11:30:00,22176.55,22220.9,0.0,44.35,1,50,50,22223.9,-2317.5,-2468.62,-0.22,SL hit
2024-05-16,NIFTY,ORB,PUT,BULLISH,0.49,10:45:00,10:50:00,22135.1,22201.81,22090.83,66.71,1,50,50,22229.25,-4657.5,-4808.64,-0.43,SL hit
2024-05-23,NIFTY,ORB,CALL,NEUTRAL,-0.028,11:55:00,12:00:00,22760.5,22692.44,22850.58,68.06,1,50,50,22864.05,5127.5,4973.18,0.44,TP hit
2024-05-24,NIFTY,PDH_PDL,PUT,NEUTRAL,-0.088,10:25:00,10:30:00,22935.5,22981.49,22889.63,45.99,1,50,50,22966.6,-1505.0,-1659.83,-0.14,NO_MOVE_TREND_LOST
2024-05-29,NIFTY,SMC,PUT,BEARISH,-0.463,12:50:00,12:55:00,22764.6,22812.4,22669.0,47.8,1,50,50,22785.95,-1017.5,-1171.43,-0.1,NO_MOVE_TREND_LOST
2024-06-06,NIFTY,ORB,CALL,BULLISH,0.999,11:30:00,11:35:00,22830.15,22761.75,23034.85,68.4,1,50,50,22688.45,-7135.0,-7288.44,-0.64,SL hit
