date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-02-11,NIFTY,SMC,CALL,NEUTRAL,0.032,13:15:00,13:20:00,23087.5,102.54,23012.45,1,50,50,119.5,-948.03,-989.84,-19.5,Hard close (14:30),2
2025-02-12,NIFTY,SMC,PUT,NEUTRAL,-0.085,12:30:00,12:35:00,23068.65,72.45,23097.6,1,50,50,14.82,2781.7,2741.46,76.74,Short TP,1
2025-02-14,NIFTY,ORB,PUT,BULLISH,0.335,10:35:00,10:40:00,22951.15,176.56,23045.15,1,50,50,125.99,2428.3,2386.39,27.19,Hard close (14:30),6
2025-02-19,NIFTY,ORB,CALL,BEARISH,-0.331,10:45:00,10:50:00,22994.0,72.21,22883.1,1,50,50,111.9,-2084.61,-2126.31,-59.72,Short SL,1
2025-02-21,NIFTY,ORB,PUT,NEUTRAL,-0.22,11:05:00,11:10:00,22744.05,174.96,22864.12,1,50,50,158.8,707.97,665.57,7.65,Hard close (14:30),6
2025-03-05,NIFTY,ORB,CALL,NEUTRAL,-0.033,11:35:00,11:40:00,22329.2,70.13,22195.48,1,50,50,70.03,-94.9,-135.96,-3.93,Hard close (14:30),1
2025-03-07,NIFTY,VWAP,PUT,NEUTRAL,-0.091,11:45:00,11:50:00,22549.75,173.47,22600.15,1,50,50,172.97,-75.24,-117.85,-1.37,Hard close (14:30),6
2025-03-12,NIFTY,ORB,PUT,NEUTRAL,0.063,10:45:00,10:50:00,22421.2,70.41,22488.29,1,50,50,83.93,-775.99,-817.27,-23.55,Hard close (14:30),1
2025-03-13,NIFTY,ORB,PUT,BULLISH,0.325,11:35:00,11:40:00,22431.5,186.39,22489.08,1,50,50,144.69,1984.92,1942.73,20.96,Hard close (14:30),7
2025-03-17,NIFTY,VWAP,CALL,NEUTRAL,-0.135,11:35:00,11:40:00,22522.55,122.51,22497.95,1,50,50,109.46,552.5,510.84,8.41,Hard close (14:30),3
2025-03-21,NIFTY,ORB,CALL,NEUTRAL,0.011,10:45:00,10:50:00,23341.75,179.56,23233.53,1,50,50,141.03,1826.34,1784.21,19.98,Hard close (14:30),6
2025-03-24,NIFTY,ORB,CALL,BULLISH,0.684,10:55:00,11:00:00,23625.25,128.51,23493.84,1,50,50,84.23,2114.03,2072.75,32.51,Hard close (14:30),3
2025-03-25,NIFTY,SMC,CALL,BULLISH,0.327,11:50:00,11:55:00,23677.4,105.16,23617.55,1,50,50,70.37,1639.28,1598.21,30.69,Hard close (14:30),2
2025-03-26,NIFTY,VWAP,PUT,BULLISH,0.402,11:00:00,11:05:00,23638.05,74.24,23682.0,1,50,50,21.07,2558.73,2518.4,68.77,Short TP,1
2025-03-26,NIFTY,SMC,CALL,BULLISH,0.402,13:50:00,13:55:00,23531.65,73.9,23490.6,1,50,50,73.94,-101.92,-143.04,-3.92,Hard close (14:30),1
2025-04-01,NIFTY,ORB,PUT,BEARISH,-0.656,10:55:00,11:00:00,23243.5,103.23,23406.92,1,50,50,46.22,2750.31,2709.6,53.01,Hard close (14:30),2
2025-04-08,NIFTY,ORB,PUT,BULLISH,0.939,10:30:00,10:35:00,22377.4,70.28,22485.99,1,50,50,120.51,-2611.48,-2653.3,-76.6,Short SL,1
2025-04-08,NIFTY,VWAP,CALL,BULLISH,0.939,11:45:00,11:50:00,22418.25,70.41,22353.65,1,50,50,1.87,3326.8,3286.76,94.71,Short TP,1
2025-04-17,NIFTY,ORB,CALL,NEUTRAL,-0.134,11:40:00,11:45:00,23598.85,196.09,23374.18,1,50,50,57.87,6811.21,6770.33,69.41,Short TP,7
2025-04-23,NIFTY,PDH_PDL,PUT,BULLISH,0.926,11:20:00,11:25:00,24180.75,75.94,24259.66,1,50,50,119.16,-2261.02,-2302.83,-61.46,Short SL,1
2025-05-07,NIFTY,PDH_PDL,CALL,BEARISH,-0.422,11:00:00,11:05:00,24362.55,76.51,24314.01,1,50,50,40.69,1691.02,1650.4,43.71,Hard close (14:30),1
2025-05-09,NIFTY,VWAP,CALL,BEARISH,-0.904,11:25:00,11:30:00,24093.0,185.34,24022.6,1,50,50,210.08,-1337.06,-1380.23,-14.97,Hard close (14:30),6
2025-05-15,NIFTY,VWAP,CALL,NEUTRAL,0.035,10:30:00,10:35:00,24620.8,204.58,24564.5,1,50,50,50.97,7580.71,7539.93,74.07,Short TP,7
2025-05-21,NIFTY,ORB,CALL,NEUTRAL,0.123,10:35:00,10:40:00,24932.95,78.3,24779.73,1,50,50,127.74,-2571.85,-2613.78,-67.63,Short SL,1
2025-05-23,NIFTY,ORB,CALL,NEUTRAL,0.01,10:45:00,10:50:00,24876.7,191.37,24733.58,1,50,50,165.41,1198.19,1155.69,12.14,Hard close (14:30),6
2025-05-26,NIFTY,VWAP,PUT,NEUTRAL,0.299,12:40:00,12:45:00,24967.35,135.81,25003.45,1,50,50,141.32,-375.41,-417.55,-6.19,Hard close (14:30),3
2025-05-27,NIFTY,VWAP,CALL,NEUTRAL,-0.159,11:00:00,11:05:00,24876.35,110.49,24772.6,1,50,50,169.58,-3054.7,-3097.26,-56.58,Short SL,2
2025-05-29,NIFTY,ORB,PUT,NEUTRAL,0.274,11:00:00,11:05:00,24715.75,205.37,24812.7,1,50,50,189.1,713.56,670.7,6.56,Hard close (14:30),7
2025-06-11,NIFTY,SMC,CALL,NEUTRAL,0.17,13:55:00,14:00:00,25144.85,78.97,25098.09,1,50,50,78.93,-98.21,-139.41,-3.58,Hard close (14:30),1
