signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
C4C5C363,2025-01-15,14:00:00,SENSEX,PUT,0,4,76582.94,76749.23,-166.29,1,near_PDH,76835.61,252.67,38.22,11.42,0,1,0,0.0,1.0,76835.61,76335.75,2,100000.0,20413.8,4960.0,340.23,272.18,442.3,363.16,1375.8,6.74,Profit lock (14:00),1,1
F2FC43B1,2025-02-01,13:00:00,SENSEX,PUT,0,4,77320.22,77584.15,-263.93,1,near_PDH,77605.96,285.74,36.26,15.52,0,1,0,0.0,1.0,77605.96,76833.87,6,101375.8,,,593.95,475.16,772.14,,,,premium_out_of_range,0,-1
DA59B87D,2025-02-01,13:30:00,SENSEX,PUT,0,5,77343.4,77543.55,-200.15,1,near_PDH,77605.96,262.56,41.46,26.97,0,1,0,0.0,1.0,77605.96,76833.87,6,101375.8,,,596.41,477.13,894.62,,,,premium_out_of_range,0,-1
21B7EFFD,2025-02-03,13:45:00,SENSEX,CALL,1,4,77199.39,76999.13,200.26,1,near_PDL,77006.47,192.92,60.92,10.92,1,0,0,0.0,1.0,77899.05,77006.47,4,101375.8,19374.0,5028.79,484.35,387.48,629.66,518.24,1355.6,7.0,Profit lock (14:00),1,1
A8A78E80,2025-02-12,13:30:00,SENSEX,CALL,1,4,76394.69,75921.79,472.9,1,near_PDL,76030.59,364.1,71.86,12.62,1,0,0,0.0,1.0,77387.28,76030.59,2,102731.4,23737.7,5096.57,339.11,271.29,440.84,271.29,-4747.4,-20.0,Stop-loss,1,0
347438A8,2025-03-11,13:30:00,SENSEX,CALL,1,4,74060.24,73931.39,128.85,1,near_PDL,74022.24,38.0,73.61,10.23,1,0,0,0.0,1.0,74741.25,74022.24,2,97984.0,19738.8,4859.2,328.98,263.18,427.67,364.31,2119.8,10.74,Profit lock (14:00),1,1
