signal_id,date,time,index,direction,direction_int,conviction_score,conditions_met,lot_size,day_quality,close,vwap,vwap_distance,ema_bull,ema_bear,ema_fast,ema_slow,near_fib,fib_distance,vol_spike,vol_ratio,rsi,adx,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
4E0BBE3C,2025-03-24,10:15:00,BANKNIFTY,CALL,1,71,71,3,PREMIUM,51407.35,51201.45,205.9,1,0,50696.04,50350.01,0,0.0143,0,1.0,84.65,36.96,1.0,50.0,50672.15,49891.95,51801.15,48629.45,2,100000.0,10291.95,1543.79,228.71,194.4,365.94,285.74,3524.65,34.25,T3_TIME,1,1
E576953A,2025-03-25,09:45:00,BANKNIFTY,CALL,1,72,72,3,PREMIUM,51931.8,51841.93,89.87,1,0,51615.44,51164.7,1,0.0025,0,1.0,74.57,54.02,1.0,50.0,51801.15,50795.9,52063.95,49324.8,1,103524.65,7337.25,1100.59,163.05,138.59,260.88,138.59,-1289.93,-17.58,HARD_SL (-24.1%),1,0
