signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
87E2DFAA,2025-07-29,13:45:00,NIFTY,CALL,1,4,24758.85,24686.88,71.97,1,50.0,24767.9,9.05,73.71,16.01,1,0,0,0.0,1.0,24889.2,24646.6,2,100000.0,11008.0,2960.0,110.08,88.06,143.1,116.65,657.0,5.97,Profit lock (14:00),1,1
833970C1,2025-07-31,14:30:00,NIFTY,CALL,1,5,24867.15,24800.77,66.38,1,50.0,24837.12,30.03,62.44,29.75,1,0,0,0.0,1.0,24902.3,24771.95,7,100657.0,10336.0,2979.71,206.72,165.38,310.08,165.38,-2067.0,-20.0,Stop-loss,1,0
4BA10943,2025-08-11,13:30:00,NIFTY,CALL,1,4,24485.3,24436.92,48.38,1,50.0,24461.5,23.8,70.18,15.62,1,0,0,0.0,1.0,24585.5,24337.5,3,98590.0,6665.0,2917.7,133.3,106.64,173.29,149.85,827.5,12.42,Profit lock (14:00),1,1
1191DE8A,2025-08-25,14:00:00,NIFTY,CALL,1,4,25004.65,24961.5,43.15,1,50.0,24972.0,32.65,70.11,20.28,1,0,0,0.0,1.0,25084.85,24859.15,3,99417.5,6798.5,2942.53,135.97,108.78,176.76,114.87,-1055.0,-15.52,Hard close (15:00),1,0
87534F2D,2025-09-02,14:30:00,NIFTY,PUT,0,5,24540.7,24698.47,-157.77,1,50.0,24534.15,6.55,17.3,25.98,0,1,0,0.0,1.0,24635.6,24432.7,2,98362.5,10922.0,2910.88,109.22,87.38,163.83,117.59,837.0,7.66,Profit lock (14:00),1,1
124351AF,2025-09-03,14:00:00,NIFTY,CALL,1,4,24652.95,24598.37,54.58,1,50.0,24639.22,13.73,65.04,14.68,1,0,0,0.0,1.0,24756.1,24522.35,1,99199.5,11616.0,2935.98,77.44,61.95,100.67,81.56,618.0,5.32,Profit lock (14:00),1,1
5557DA2C,2025-09-23,14:15:00,NIFTY,CALL,1,4,25206.9,25158.71,48.19,1,50.0,25241.38,34.48,64.32,20.14,1,0,0,0.0,1.0,25331.7,25151.05,2,99817.5,11197.0,2954.53,111.97,89.58,145.56,117.74,577.0,5.15,Profit lock (14:00),1,1
F2A07754,2025-11-07,13:30:00,NIFTY,CALL,1,5,25531.8,25417.4,114.4,1,61.8,25563.21,31.41,86.26,28.04,1,0,0,0.0,1.0,25679.15,25491.55,6,100394.5,9822.5,2971.84,196.45,157.16,294.67,157.16,-1964.5,-20.0,Stop-loss,1,0
A3F30D3D,2025-11-11,13:30:00,NIFTY,CALL,1,4,25608.35,25525.72,82.63,1,50.0,25578.47,29.88,74.14,12.95,1,0,0,0.0,1.0,25653.45,25503.5,2,98430.0,11382.0,2912.9,113.82,91.06,147.97,124.19,1037.0,9.11,Profit lock (14:00),1,1
EEA8689E,2025-12-10,13:15:00,NIFTY,PUT,0,4,25801.85,25857.05,-55.2,1,50.0,25825.83,23.98,36.17,13.24,0,1,0,0.0,1.0,25923.65,25728.0,1,99467.0,8114.0,2944.01,81.14,64.91,105.48,105.48,2434.0,30.0,Target (1.5×),1,1
2D5AE826,2025-12-11,13:30:00,NIFTY,CALL,1,4,25862.5,25823.0,39.5,1,50.0,25841.1,21.4,58.46,14.51,1,0,0,0.0,1.0,25947.65,25734.55,7,101901.0,10749.5,3017.03,214.99,171.99,279.49,225.72,536.5,4.99,Hard close (15:00),1,1
A53AEA32,2025-12-18,13:00:00,NIFTY,CALL,1,4,25881.8,25833.71,48.09,1,50.0,25849.75,32.05,71.37,12.91,1,0,0,0.0,1.0,25929.15,25770.35,6,102437.5,9954.5,3033.12,199.09,159.27,258.82,159.27,-1991.0,-20.0,Stop-loss,1,0
ECB9A781,2026-01-05,14:15:00,NIFTY,PUT,0,4,26226.75,26318.64,-91.89,1,50.0,26229.2,2.45,22.34,15.24,0,1,0,0.0,1.0,26340.0,26118.4,3,100446.5,7133.0,2973.39,142.66,114.13,185.46,131.53,-556.5,-7.8,Hard close (15:00),1,0
A1A31AED,2026-02-16,13:15:00,NIFTY,CALL,1,4,25571.35,25527.54,43.81,1,50.0,25537.32,34.03,68.89,12.71,1,0,0,0.0,1.0,25630.35,25444.3,3,99890.0,6958.0,2956.7,139.16,111.33,180.91,180.91,2087.5,30.0,Target (1.5×),1,1
9331A01F,2026-02-20,14:00:00,NIFTY,CALL,1,4,25601.15,25561.57,39.58,1,50.0,25637.03,35.88,63.75,17.5,1,0,0,0.0,1.0,25885.3,25388.75,6,101977.5,9847.5,3019.32,196.95,157.56,256.03,182.1,-742.5,-7.54,Hard close (15:00),1,0
