signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
968D4880,2025-04-01,13:45:00,SENSEX,PUT,0,75,2,76061.2,76466.25,-405.05,23.65,22.48,76429.47,76762.04,1.0,50.0,77766.7,77185.62,78741.69,75912.18,3,90242.35,8269.0,1653.8,413.45,330.76,620.17,378.47,-821.89,-9.94,Max hold (60 min),1,0
4F4FDAF8,2025-04-17,13:15:00,SENSEX,CALL,1,65,1,78323.58,77375.82,947.76,92.77,21.6,77440.78,77079.44,1.0,50.0,77110.23,76543.77,78616.77,73673.06,8,89420.46,,,695.44,556.35,1043.16,,,,premium_out_of_range,0,-1
04E22788,2025-04-17,13:30:00,SENSEX,CALL,1,65,1,78294.11,77430.54,863.57,90.53,27.34,77522.05,77127.07,1.0,50.0,77110.23,76543.77,78616.77,73673.06,8,89420.46,,,696.49,557.19,1044.74,,,,premium_out_of_range,0,-1
AF14A49B,2025-04-17,13:45:00,SENSEX,CALL,1,71,1,78413.72,77482.8,930.92,91.44,32.49,77606.97,77177.53,1.0,50.0,77110.23,76543.77,78616.77,73673.06,8,89420.46,,,697.29,557.83,1045.93,,,,premium_out_of_range,0,-1
8356CF36,2025-04-17,14:00:00,SENSEX,CALL,1,74,2,78499.34,77535.35,963.99,92.02,37.18,77691.95,77229.36,1.0,50.0,77110.23,76543.77,78616.77,73673.06,8,89420.46,,,697.41,557.93,1046.12,,,,premium_out_of_range,0,-1
A8D95BF9,2025-04-17,14:15:00,SENSEX,CALL,1,74,2,78511.56,77585.7,925.86,92.11,41.45,77770.01,77279.64,1.0,50.0,77110.23,76543.77,78616.77,73673.06,8,89420.46,,,697.05,557.64,1045.57,,,,premium_out_of_range,0,-1
12F040E6,2025-04-17,14:30:00,SENSEX,CALL,1,74,2,78472.18,77626.76,845.42,88.89,43.17,77836.89,77326.41,1.0,50.0,77110.23,76543.77,78616.77,73673.06,8,89420.46,,,697.86,558.29,1046.79,,,,premium_out_of_range,0,-1
71FEC9AC,2025-04-21,13:15:00,SENSEX,CALL,1,68,1,79578.9,79329.22,249.68,84.37,21.99,79336.19,79172.07,1.0,50.0,78616.77,76665.77,79635.05,74762.84,4,89420.46,4994.2,998.84,499.42,399.54,749.13,484.47,-230.99,-4.63,No-move (flat 30 min),1,0
212001BE,2025-04-28,13:15:00,SENSEX,CALL,1,68,1,80273.76,80010.33,263.43,74.23,20.81,79988.62,79789.53,1.0,50.0,80130.66,78605.81,80321.88,78605.81,4,89189.47,,,504.05,403.24,756.08,,,,premium_out_of_range,0,-1
9F82D5DC,2025-04-28,13:30:00,SENSEX,CALL,1,65,1,80251.23,80024.63,226.6,72.02,24.9,80013.63,79807.64,1.0,50.0,80130.66,78605.81,80321.88,78605.81,4,89189.47,,,504.26,403.41,756.39,,,,premium_out_of_range,0,-1
6793BE03,2025-04-28,13:45:00,SENSEX,CALL,1,71,1,80283.72,80038.05,245.67,73.26,28.49,80039.35,79826.31,1.0,50.0,80130.66,78605.81,80321.88,78605.81,4,89189.47,,,504.11,403.29,756.16,,,,premium_out_of_range,0,-1
36D8C458,2025-04-28,14:00:00,SENSEX,CALL,1,68,1,80258.64,80050.49,208.15,70.65,31.89,80060.23,79843.26,1.0,50.0,80130.66,78605.81,80321.88,78605.81,4,89189.47,,,504.4,403.52,756.6,,,,premium_out_of_range,0,-1
F2297690,2025-04-28,14:15:00,SENSEX,CALL,1,68,1,80300.07,80062.44,237.63,72.4,34.89,80083.08,79861.18,1.0,50.0,80130.66,78605.81,80321.88,78605.81,4,89189.47,,,503.53,402.82,755.29,,,,premium_out_of_range,0,-1
670008F0,2025-05-12,13:30:00,SENSEX,CALL,1,72,2,82075.47,81712.81,362.66,76.17,24.33,81733.04,81563.95,1.0,50.0,80032.93,78968.34,82495.97,78968.34,4,89189.47,,,515.96,412.77,773.94,,,,premium_out_of_range,0,-1
8B9BDD6F,2025-05-12,13:45:00,SENSEX,CALL,1,72,2,82143.84,81735.5,408.34,78.12,29.17,81772.16,81586.69,1.0,50.0,80032.93,78968.34,82495.97,78968.34,4,89189.47,,,515.93,412.74,773.89,,,,premium_out_of_range,0,-1
B3DA3D6E,2025-05-12,14:00:00,SENSEX,CALL,1,72,2,82139.51,81756.82,382.69,77.69,33.49,81807.15,81608.37,1.0,50.0,80032.93,78968.34,82495.97,78968.34,4,89189.47,,,516.41,413.13,774.62,,,,premium_out_of_range,0,-1
305E6BB3,2025-05-12,14:15:00,SENSEX,CALL,1,71,1,82216.68,81778.17,438.51,79.83,37.45,81846.15,81632.23,1.0,50.0,80032.93,78968.34,82495.97,78968.34,4,89189.47,,,517.07,413.66,775.61,,,,premium_out_of_range,0,-1
3C76E12B,2025-05-12,14:30:00,SENSEX,CALL,1,74,2,82323.67,81802.63,521.04,82.37,41.35,81891.63,81659.34,1.0,50.0,80032.93,78968.34,82495.97,78968.34,4,89189.47,,,516.31,413.05,774.46,,,,premium_out_of_range,0,-1
