date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-02,BANKNIFTY,ORB,PUT,NEUTRAL,0.272,10:35:00,10:40:00,47826.65,150.2,48114.7,47834.8,1,15,15,0,0.0,0,0.0,118.2,-510.01,-550.54,-24.27,Hard SL,1
2024-01-03,BANKNIFTY,VWAP,PUT,NEUTRAL,0.18,12:20:00,12:25:00,47598.95,395.5,47688.85,0.0,2,15,30,0,0.0,0,0.0,378.03,-584.21,-627.6,-5.28,No-move,7
2024-01-04,BANKNIFTY,ORB,CALL,NEUTRAL,0.14,11:00:00,11:05:00,48043.35,369.58,47855.96,48158.9,1,15,15,0,0.0,0,0.0,424.35,791.61,749.71,13.49,TP hit,6
2024-01-05,BANKNIFTY,ORB,PUT,NEUTRAL,-0.001,10:40:00,10:45:00,48169.25,338.27,48281.32,48022.57,1,15,15,0,0.0,0,0.0,346.55,94.27,52.72,1.04,No-move,5
2024-01-05,BANKNIFTY,ORB,PUT,NEUTRAL,-0.001,11:15:00,11:20:00,48051.5,337.44,48281.32,48022.57,1,15,15,0,0.0,0,0.0,330.87,-128.54,-170.02,-3.35,No-move,5
2024-01-08,BANKNIFTY,ORB,PUT,NEUTRAL,0.016,11:50:00,11:55:00,47770.35,212.17,48015.9,47659.5,1,15,15,0,0.0,0,0.0,216.54,35.5,-5.47,-0.17,No-move,2
2024-01-09,BANKNIFTY,ORB,CALL,BULLISH,0.509,11:05:00,11:10:00,47920.5,150.5,47740.9,48083.8,1,15,15,0,0.0,0,0.0,105.44,-705.94,-746.41,-32.85,Hard SL,1
2024-01-09,BANKNIFTY,ORB,CALL,BULLISH,0.509,11:15:00,11:20:00,47832.25,150.22,47740.9,48083.8,2,15,30,0,0.0,0,0.0,154.15,58.02,16.64,0.37,No-move,1
2024-01-10,BANKNIFTY,VWAP,PUT,BEARISH,-0.333,12:40:00,12:45:00,47242.85,392.55,47307.3,0.0,3,15,45,0,0.0,0,0.0,403.45,400.63,355.2,2.01,No-move,7
2024-01-11,BANKNIFTY,ORB,PUT,BULLISH,0.378,10:50:00,10:55:00,47438.45,364.93,47520.1,47154.98,1,15,15,0,0.0,0,0.0,309.89,-855.65,-897.04,-16.34,Hard SL,6
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,11:40:00,11:45:00,48198.95,151.37,48259.25,0.0,3,15,45,0,0.0,0,0.0,99.59,-2420.04,-2461.37,-35.9,SL hit,1
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,12:05:00,12:10:00,48205.4,151.39,48292.75,0.0,2,15,30,0,0.0,0,0.0,128.36,-750.98,-792.13,-17.33,Hard SL,1
2024-01-17,BANKNIFTY,ORB,PUT,BEARISH,-3.196,11:40:00,11:45:00,46364.75,385.25,46737.83,45516.63,1,15,15,0,0.0,0,0.0,395.61,125.37,83.6,1.44,No-move,7
2024-01-18,BANKNIFTY,ORB,CALL,BEARISH,-1.282,11:55:00,12:00:00,46012.6,353.96,45706.08,46414.2,1,15,15,0,0.0,0,0.0,319.58,-545.69,-587.13,-11.03,Trail SL,6
2024-01-19,BANKNIFTY,VWAP,PUT,BULLISH,0.746,11:05:00,11:10:00,45959.65,322.75,46136.75,0.0,1,15,15,0,0.0,0,0.0,307.46,-259.3,-300.68,-6.19,No-move,5
2024-01-20,BANKNIFTY,VWAP,CALL,BULLISH,0.554,12:55:00,13:00:00,46058.55,289.3,45864.4,0.0,1,15,15,0,0.0,0,0.0,296.36,75.9,34.57,0.79,No-move,4
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,10:35:00,10:40:00,45720.7,143.59,46320.43,45652.18,1,15,15,0,0.0,0,0.0,124.65,-314.17,-354.72,-16.36,Trail SL,1
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,11:35:00,11:40:00,45567.5,143.11,46320.43,45652.18,1,15,15,0,0.0,0,0.0,254.94,1647.41,1606.27,74.31,TP hit,1
2024-01-24,BANKNIFTY,VWAP,PUT,BEARISH,-1.149,11:20:00,11:25:00,45127.2,374.97,45323.75,0.0,1,15,15,0,0.0,0,0.0,417.66,610.29,568.41,10.08,Trail SL,7
2024-01-29,BANKNIFTY,ORB,CALL,BULLISH,0.407,11:15:00,11:20:00,45465.35,201.93,45337.67,45920.77,1,15,15,0,0.0,0,0.0,149.15,-821.74,-862.41,-28.33,Hard SL,2
