signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,day_quality,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
E7CC453A,2023-01-06,14:00:00,NIFTY,PUT,0,71,1,NORMAL,17841.15,17914.38,-73.23,31.37,31.57,17898.06,17941.31,1.0,50.0,18119.05,17892.6,18251.85,17796.15,6,100000.0,6854.5,1028.17,137.09,116.53,219.34,116.53,-1578.81,-23.03,HARD_SL (-21.1%),1,0
F4FD294C,2023-01-10,14:30:00,NIFTY,PUT,0,68,2,PREMIUM,17874.9,17945.86,-70.96,31.95,34.63,17932.12,17973.38,1.0,50.0,18141.0,17936.7,18241.2,17796.15,2,98421.19,7931.0,1189.65,79.31,67.41,126.9,67.41,-1679.2,-21.17,HARD_SL (-23.4%),1,0
DF92C8CA,2023-01-13,13:30:00,NIFTY,CALL,1,72,2,NORMAL,17967.55,17846.59,120.96,86.6,30.14,17861.24,17830.24,1.0,50.0,17944.8,17762.25,18141.0,17762.25,6,96741.99,13828.0,2074.2,138.28,117.54,221.25,142.22,-217.38,-1.57,NO_MOVE,1,0
3117D41A,2023-01-27,13:45:00,NIFTY,PUT,0,68,2,PREMIUM,17565.65,17662.32,-96.67,28.0,28.51,17642.3,17689.1,1.0,50.0,18093.35,17846.6,18200.75,17494.2,6,96524.61,13495.0,2024.25,134.95,114.71,215.92,149.39,999.69,7.41,Profit lock (14:00),1,1
5F0A6C3B,2023-02-14,13:45:00,NIFTY,CALL,1,68,2,PREMIUM,17905.05,17867.67,37.38,70.56,28.4,17873.54,17847.64,1.0,50.0,17879.8,17720.25,17954.45,17720.25,2,97524.3,7966.0,1194.9,79.66,67.71,127.46,80.53,-355.75,-4.47,Profit lock (14:00),1,0
A20D4C2C,2023-02-20,14:00:00,NIFTY,PUT,0,68,1,NORMAL,17856.5,17929.86,-73.36,26.66,31.15,17911.7,17925.7,1.0,50.0,18033.7,17885.95,18134.0,17800.45,3,97168.55,4852.5,727.88,97.05,82.49,155.28,102.56,34.23,0.71,Profit lock (14:00),1,1
705ECA8C,2023-02-22,13:30:00,NIFTY,PUT,0,68,2,PREMIUM,17585.35,17660.15,-74.8,11.45,28.06,17659.49,17699.41,1.0,50.0,17924.4,17800.6,18134.0,17529.55,1,97202.78,5516.0,827.4,55.16,46.89,88.26,66.24,633.29,11.48,Profit lock (14:00),1,1
653A9811,2023-02-24,14:15:00,NIFTY,PUT,0,71,2,PREMIUM,17444.8,17499.41,-54.61,30.84,32.27,17487.61,17521.75,1.0,50.0,17619.4,17456.7,18003.95,17422.55,6,97836.07,13417.0,2012.55,134.17,114.04,214.67,111.19,-2741.32,-20.43,Hard close (15:00),1,0
2D45078C,2023-03-03,14:15:00,NIFTY,CALL,1,68,2,PREMIUM,17609.75,17545.3,64.45,78.06,26.92,17552.56,17515.69,1.0,50.0,17444.55,17306.5,17644.7,17255.9,6,95094.75,13558.0,2033.7,135.58,115.24,216.93,132.56,-986.94,-7.28,NO_MOVE,1,0
A93E4965,2023-03-13,13:15:00,NIFTY,PUT,0,65,1,NORMAL,17269.65,17389.83,-120.18,6.08,25.63,17384.12,17440.37,1.0,50.0,17443.8,17326.0,17798.35,17114.75,3,94107.81,4694.5,704.17,93.89,79.81,150.22,115.82,732.06,15.59,T1_TARGET (+23%),1,1
DA6A05F3,2023-03-31,13:45:00,NIFTY,CALL,1,71,2,PREMIUM,17344.35,17278.94,65.41,79.95,29.3,17290.7,17278.5,1.0,50.0,17125.9,16941.15,17381.3,16914.2,6,94839.87,13351.0,2002.65,133.51,113.48,213.62,131.17,-918.02,-6.88,NO_MOVE,1,0
B063D516,2023-04-05,14:00:00,NIFTY,CALL,1,66,1,NORMAL,17523.25,17500.83,22.42,64.25,28.71,17506.71,17488.2,1.0,50.0,17427.95,17312.9,17570.0,16914.2,1,93921.85,2753.5,413.03,55.07,46.81,88.11,55.26,-231.15,-8.39,Profit lock (14:00),1,0
458E8EF6,2023-04-28,14:00:00,NIFTY,CALL,1,66,2,PREMIUM,17977.85,17942.92,34.93,74.3,31.42,17947.95,17924.69,1.0,50.0,17931.25,17798.2,18088.8,17612.7,6,93690.7,13833.0,2074.95,138.33,117.58,221.33,171.43,2865.18,20.71,Hard close (15:00),1,1
B7F15946,2023-05-08,13:45:00,NIFTY,CALL,1,65,2,PREMIUM,18269.25,18238.84,30.41,67.96,32.17,18242.04,18213.81,1.0,50.0,18216.95,18055.7,18286.7,18043.35,3,96555.88,9945.0,1491.75,99.45,84.53,159.12,84.61,-1926.01,-19.37,Hard close (15:00),1,0
84F17B50,2023-05-15,14:00:00,NIFTY,CALL,1,68,1,NORMAL,18443.1,18403.58,39.52,91.03,33.85,18409.39,18382.53,1.0,50.0,18342.0,18194.85,18458.25,18194.85,3,94629.87,5018.5,752.77,100.37,85.31,160.59,90.49,-954.76,-19.02,NO_MOVE,1,0
634601AE,2023-05-26,13:45:00,NIFTY,CALL,1,65,2,PREMIUM,18451.75,18410.15,41.6,82.78,30.29,18413.91,18390.57,1.0,50.0,18337.0,18202.8,18508.35,18179.55,6,93675.11,14206.0,2130.9,142.06,120.75,227.3,148.45,194.83,1.37,Profit lock (14:00),1,1
43E46EC1,2023-06-14,14:00:00,NIFTY,CALL,1,65,1,NORMAL,18762.25,18732.75,29.5,75.11,32.62,18739.02,18728.28,1.0,50.0,18727.75,18631.8,18777.8,18555.7,1,93869.94,2947.0,442.05,58.94,50.1,94.3,51.85,-723.84,-24.56,NO_MOVE,1,0
784A57D2,2023-06-19,14:15:00,NIFTY,PUT,0,65,1,NORMAL,18734.1,18785.97,-51.87,14.01,36.0,18778.81,18811.83,1.0,50.0,18863.95,18712.7,18879.0,18631.8,3,93146.1,5094.5,764.17,101.89,86.61,163.02,86.61,-1066.57,-20.94,HARD_SL (-19.1%),1,0
CCD9DD38,2023-06-28,13:15:00,NIFTY,CALL,1,75,3,PREMIUM,18994.9,18932.24,62.66,80.73,25.88,18934.44,18904.06,1.0,50.0,18829.15,18714.5,19010.4,18647.45,1,92079.53,8947.5,1342.12,59.65,50.7,95.44,50.7,-2093.95,-23.4,HARD_SL (-15.5%),1,0
8AE04180,2023-06-30,14:15:00,NIFTY,CALL,1,68,2,PREMIUM,19144.75,19113.02,31.73,65.94,39.68,19122.52,19105.63,1.0,50.0,19010.4,18861.45,19201.7,18647.45,6,89985.58,14736.0,2210.4,147.36,125.26,235.78,149.43,-237.74,-1.61,Profit lock (14:00),1,0
31BA8F51,2023-07-20,13:45:00,NIFTY,CALL,1,65,1,NORMAL,19904.55,19844.56,59.99,77.28,25.14,19856.58,19833.94,1.0,50.0,19851.7,19727.45,19991.85,19433.5,7,89747.84,8279.5,1241.92,165.59,140.75,264.94,168.01,-121.38,-1.47,Profit lock (14:00),1,0
779045E0,2023-07-27,13:30:00,NIFTY,PUT,0,65,2,PREMIUM,19704.4,19773.04,-68.64,20.36,27.95,19768.53,19804.08,1.0,50.0,19825.6,19716.7,19887.4,19603.55,7,89626.46,16369.0,2455.35,163.69,139.14,261.9,167.14,1136.54,6.94,Hard close (15:00),1,1
FA9C8D82,2023-08-03,13:30:00,NIFTY,PUT,0,68,2,PREMIUM,19339.0,19459.22,-120.22,10.55,25.5,19448.43,19484.82,1.0,50.0,19678.25,19425.7,19795.6,19297.85,7,90763.0,16065.0,2409.75,160.65,136.55,257.04,166.58,147.77,0.92,Profit lock (14:00),1,1
