signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
7724A060,2024-01-01,14:00:00,SENSEX,CALL,1,4,72299.34,72181.3,118.04,1,near_PDH,72402.3,102.96,65.86,17.09,1,0,0,0.0,1.0,72402.3,72032.97,4,100000.0,22735.0,4960.0,454.7,363.76,591.11,460.08,269.0,1.18,Profit lock (14:00),1,1
D2F0A740,2024-01-01,14:15:00,SENSEX,CALL,1,4,72397.26,72190.6,206.66,1,near_PDH,72423.73,26.47,72.76,21.52,1,0,0,0.0,1.0,72423.73,72032.97,4,100269.0,,,454.78,363.82,682.17,,,,shadow_not_traded,0,0
6C7F94E8,2024-01-01,14:30:00,SENSEX,CALL,1,4,72403.37,72200.68,202.69,1,near_PDH,72501.4,98.03,73.12,25.68,1,0,0,0.0,1.0,72501.4,72032.97,4,100269.0,,,455.33,364.26,683.0,,,,shadow_not_traded,0,0
C073A7B5,2024-01-04,13:30:00,SENSEX,CALL,1,3,71855.93,71801.29,54.64,1,near_PDH,71862.0,6.07,60.44,23.02,1,0,0,0.0,1.0,71862.0,71303.97,1,100269.0,,,225.74,180.59,338.61,,,,shadow_not_traded,0,0
918215CA,2024-01-04,13:45:00,SENSEX,CALL,1,3,71878.71,71805.05,73.66,1,near_PDH,71862.0,16.71,63.63,24.43,1,0,0,0.0,1.0,71862.0,71303.97,1,100269.0,,,225.64,180.51,338.46,,,,shadow_not_traded,0,1
BF9DBADB,2024-01-04,14:00:00,SENSEX,CALL,1,3,71845.41,71807.75,37.66,1,near_PDH,71862.0,16.59,56.46,25.67,1,0,0,0.0,1.0,71862.0,71303.97,1,100269.0,,,225.6,180.48,338.4,,,,shadow_not_traded,0,1
664319B9,2024-01-05,14:15:00,SENSEX,PUT,0,5,71818.57,71959.85,-141.28,1,near_PDH,71954.79,136.22,29.46,28.16,0,1,0,0.0,1.0,71954.79,71546.6,7,100269.0,,,596.69,477.35,895.04,,,,premium_out_of_range,0,-1
025FBD86,2024-01-05,14:30:00,SENSEX,PUT,0,5,71815.6,71953.02,-137.42,1,near_PDH,71954.79,139.19,29.21,31.16,0,1,0,0.0,1.0,71954.79,71546.6,7,100269.0,,,597.49,477.99,896.24,,,,premium_out_of_range,0,-1
6AAE7918,2024-01-08,13:15:00,SENSEX,PUT,0,3,71571.15,71792.53,-221.38,1,near_PDL,71779.83,208.68,30.1,13.18,0,1,0,0.0,1.0,72156.48,71779.83,4,100269.0,,,449.74,359.79,674.61,,,,shadow_not_traded,0,1
B03AFEB1,2024-01-08,13:30:00,SENSEX,PUT,0,3,71603.49,71781.36,-177.87,1,near_PDL,71779.83,176.34,33.37,16.08,0,1,0,0.0,1.0,72156.48,71779.83,4,100269.0,,,449.28,359.42,673.92,,,,shadow_not_traded,0,1
D5DE009B,2024-01-08,13:45:00,SENSEX,PUT,0,3,71528.91,71769.37,-240.46,1,near_PDL,71779.83,250.92,29.9,19.17,0,1,0,0.0,1.0,72156.48,71779.83,4,100269.0,,,449.68,359.74,674.52,,,,shadow_not_traded,0,1
9F287276,2024-01-08,14:00:00,SENSEX,PUT,0,4,71593.25,71758.56,-165.31,1,near_PDL,71779.83,186.58,36.08,22.02,0,1,0,0.0,1.0,72156.48,71779.83,4,100269.0,,,449.8,359.84,674.7,,,,shadow_not_traded,0,1
1FB6A97C,2024-01-08,14:15:00,SENSEX,PUT,0,4,71612.53,71751.53,-139.0,1,near_PDL,71779.83,167.3,37.85,22.95,0,1,0,0.0,1.0,72156.48,71779.83,4,100269.0,,,449.08,359.26,673.62,,,,shadow_not_traded,0,1
B9B15470,2024-01-08,14:30:00,SENSEX,PUT,0,4,71492.42,71741.05,-248.63,1,near_PDL,71779.83,287.41,31.92,24.9,0,1,0,0.0,1.0,72156.48,71779.83,4,100269.0,,,448.44,358.75,672.66,,,,shadow_not_traded,0,1
7B664FB0,2024-01-11,13:15:00,SENSEX,PUT,0,3,71797.56,71803.29,-5.73,1,near_PDH,71733.84,63.72,35.58,12.71,0,1,0,0.0,1.0,71733.84,71110.98,1,100269.0,,,225.4,180.32,338.1,,,,shadow_not_traded,0,1
A93BBE2C,2024-01-11,13:30:00,SENSEX,PUT,0,3,71770.57,71802.54,-31.97,1,near_PDH,71733.84,36.73,30.16,15.67,0,1,0,0.0,1.0,71733.84,71110.98,1,100269.0,,,225.41,180.33,338.12,,,,shadow_not_traded,0,1
