signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
CEE1CE02,2025-01-27,13:15:00,BANKNIFTY,CALL,1,4,48234.0,48123.22,110.78,1,near_PDL,48203.0,31.0,61.94,11.89,1,0,0,0.0,1.0,48858.65,48203.0,2,100000.0,22456.35,4960.0,213.87,171.1,278.03,171.1,-4490.85,-20.0,Stop-loss,1,0
90D77159,2025-02-24,14:00:00,BANKNIFTY,CALL,1,4,48593.75,48506.5,87.25,1,near_PDL,48764.0,170.25,58.29,10.59,1,0,0,0.0,1.0,49306.55,48764.0,1,95509.15,20594.25,4735.46,152.55,122.04,198.32,166.45,1876.5,9.11,Profit lock (14:00),1,1
D4FEF99B,2025-03-11,14:15:00,BANKNIFTY,CALL,1,4,47979.4,47877.98,101.42,1,near_PDL,48124.65,145.25,64.25,11.09,1,0,0,0.0,1.0,48599.15,48124.65,1,97385.65,20318.85,4829.28,150.51,120.41,195.66,120.41,-4063.5,-20.0,Stop-loss,1,0
A3124E1A,2025-03-25,13:00:00,BANKNIFTY,PUT,0,4,51637.95,51805.6,-167.65,1,near_PDH,51801.15,163.2,38.22,13.28,0,1,0,0.0,1.0,51801.15,50795.9,1,93322.15,19455.6,4626.11,162.13,129.7,210.77,129.7,-3891.6,-20.0,Stop-loss,1,0
F4967071,2025-04-04,14:30:00,BANKNIFTY,PUT,0,4,51515.2,51624.51,-109.31,1,near_PDH,51661.6,146.4,40.9,12.35,0,1,0,0.0,1.0,51661.6,50906.65,5,89430.55,16254.45,4431.53,361.21,288.97,469.57,391.43,1359.9,8.37,Profit lock (14:00),1,1
