date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-02,NIFTY,ORB,PUT,NEUTRAL,0.285,10:35:00,10:40:00,21567.15,95.79,21715.98,21614.1,1,50,50,0,0.0,0,0.0,84.66,-656.66,-697.91,-14.42,TP hit,2
2024-01-05,NIFTY,VWAP,PUT,NEUTRAL,0.167,10:40:00,10:45:00,21705.35,166.97,21737.15,0.0,1,50,50,0,0.0,0,0.0,173.32,217.64,175.05,2.08,No-move,6
2024-01-08,NIFTY,ORB,PUT,NEUTRAL,0.175,11:05:00,11:10:00,21615.5,117.58,21687.83,21492.08,1,50,50,0,0.0,0,0.0,128.79,460.28,418.37,7.06,Trail SL,3
2024-01-09,NIFTY,ORB,CALL,BULLISH,0.661,11:05:00,11:10:00,21708.4,96.42,21652.26,21780.6,1,50,50,0,0.0,0,0.0,91.92,-325.14,-366.5,-7.52,No-move,2
2024-01-18,NIFTY,ORB,CALL,BEARISH,-0.756,11:55:00,12:00:00,21510.8,178.74,21442.09,21635.95,1,50,50,0,0.0,0,0.0,182.47,86.69,43.97,0.49,No-move,7
2024-01-23,NIFTY,ORB,PUT,BULLISH,0.601,10:35:00,10:40:00,21569.5,95.8,21705.94,21592.0,1,50,50,0,0.0,0,0.0,109.82,600.84,559.21,11.55,TP hit,2
2024-01-23,NIFTY,ORB,PUT,BULLISH,0.601,11:40:00,11:45:00,21466.1,95.34,21705.94,21592.0,1,50,50,0,0.0,0,0.0,93.98,-167.82,-209.21,-4.34,TP hit,2
2024-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.272,11:20:00,11:25:00,21350.9,67.05,21241.01,21507.95,1,50,50,0,0.0,0,0.0,39.68,-1468.41,-1508.99,-44.35,Hard SL,1
2024-01-24,NIFTY,VWAP,PUT,NEUTRAL,-0.272,11:25:00,11:30:00,21297.7,66.89,21358.75,0.0,1,50,50,0,0.0,0,0.0,66.21,-133.78,-174.76,-5.15,Trail SL,1
2024-01-25,NIFTY,VWAP,CALL,NEUTRAL,-0.028,11:35:00,11:40:00,21346.85,177.37,21282.85,0.0,1,50,50,0,0.0,0,0.0,150.28,-1454.62,-1496.86,-16.78,Hard SL,7
2024-01-29,NIFTY,ORB,CALL,NEUTRAL,0.292,10:35:00,10:40:00,21609.5,117.55,21522.7,21762.1,1,50,50,0,0.0,0,0.0,117.22,-116.64,-158.38,-2.67,No-move,3
2024-01-29,NIFTY,ORB,CALL,NEUTRAL,0.292,11:20:00,11:25:00,21595.6,117.47,21522.7,21762.1,1,50,50,1,154.66114170975393,0,0.0,154.66,1759.56,1717.25,28.99,Partial 1 + close,3
2024-01-30,NIFTY,VWAP,CALL,NEUTRAL,0.142,11:55:00,12:00:00,21731.4,96.52,21707.35,0.0,2,50,100,0,0.0,0,0.0,80.63,-1789.14,-1831.53,-18.78,SL hit,2
