signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,day_quality,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
5EE9EE99,2024-01-17,10:45:00,BANKNIFTY,PUT,0,68,2,PREMIUM,46692.7,46926.03,-233.33,14.87,39.66,47586.17,47828.8,1.0,50.0,48305.4,48002.85,48305.4,45979.6,7,100000.0,11624.4,1743.66,387.48,329.36,619.97,513.03,3300.59,28.39,T2_RED_CANDLE,1,1
D0814B03,2024-04-09,10:15:00,BANKNIFTY,CALL,1,68,3,PREMIUM,48823.55,48732.93,90.62,72.27,39.53,48616.13,48448.8,1.0,50.0,48716.95,48424.65,48960.75,47279.8,1,103300.59,6901.2,1035.18,153.36,130.36,245.38,184.73,1164.51,16.87,MAX_HOLD,1,1
E27C47D8,2024-05-27,10:30:00,BANKNIFTY,CALL,1,65,3,PREMIUM,49283.15,49216.97,66.18,72.42,50.7,49020.17,48765.43,1.0,50.0,49052.95,48644.8,49688.85,47435.25,2,104465.1,9857.25,1478.59,219.05,186.19,350.48,294.59,3110.65,31.56,MAX_HOLD,1,1
B665CC87,2024-05-29,10:15:00,BANKNIFTY,PUT,0,65,2,PREMIUM,48705.85,48834.46,-128.61,19.28,38.02,49092.05,49155.86,1.0,50.0,49511.15,49043.65,49688.85,47873.15,7,107575.75,12132.0,1819.8,404.4,343.74,647.04,409.76,-238.97,-1.97,MAX_HOLD,1,0
E6D9471D,2024-06-03,11:00:00,BANKNIFTY,CALL,1,65,3,PREMIUM,50515.1,50431.69,83.41,76.2,36.16,49658.27,49215.69,1.0,50.0,49122.55,48569.05,51133.2,48313.6,2,107336.78,10102.05,1515.31,224.49,190.82,359.18,366.51,6177.89,61.15,T3_TIME,1,1
8C6DAEA0,2024-06-04,11:00:00,BANKNIFTY,PUT,0,65,3,PREMIUM,48318.85,49179.4,-860.55,25.79,47.51,49841.71,49803.17,1.0,50.0,51133.2,50092.65,51133.2,46077.85,1,113514.67,6828.3,1024.25,151.74,128.98,242.78,1242.5,36036.3,527.75,T3_TARGET (+719%),1,1
FC678EBA,2024-06-19,11:00:00,BANKNIFTY,CALL,1,75,3,PREMIUM,51028.0,50907.11,120.89,68.99,47.77,50629.67,50372.78,1.0,50.0,50562.15,49900.2,51957.0,49693.35,7,149550.97,19060.2,2859.03,423.56,360.03,677.7,481.49,2139.48,11.22,NO_MOVE,1,1
B67D0E8A,2024-07-24,11:30:00,BANKNIFTY,PUT,0,75,3,PREMIUM,51060.9,51515.3,-454.4,32.05,35.71,51612.21,51876.32,1.0,50.0,52547.55,51342.65,52782.75,50784.25,7,151690.45,19107.0,2866.05,424.6,360.91,679.36,399.84,-1606.05,-8.41,MAX_HOLD,1,0
7C52440C,2024-07-29,11:00:00,BANKNIFTY,CALL,1,72,3,PREMIUM,52097.55,51849.54,248.01,81.45,44.37,51513.92,51272.08,1.0,50.0,51398.6,50438.3,52547.55,50438.3,2,150084.4,10418.85,1562.83,231.53,196.8,370.45,196.8,-1839.19,-17.65,HARD_SL (-68.2%),1,0
65AF1658,2024-08-05,10:45:00,BANKNIFTY,PUT,0,71,3,PREMIUM,50247.95,50408.15,-160.2,15.69,35.94,50964.91,51260.92,1.0,50.0,51608.7,51087.85,51957.75,49719.1,2,148245.21,10000.35,1500.05,222.23,188.9,355.57,230.9,69.64,0.7,MAX_HOLD,1,1
879C7D68,2024-09-30,10:45:00,BANKNIFTY,PUT,0,65,3,PREMIUM,53263.4,53317.87,-54.47,17.07,52.72,53676.61,53909.57,1.0,50.0,54338.7,53763.2,54467.35,52926.55,1,148314.85,7525.35,1128.8,167.23,142.15,267.57,233.88,2475.17,32.89,MAX_HOLD,1,1
2A4B6311,2024-10-01,10:00:00,BANKNIFTY,PUT,0,69,3,PREMIUM,52992.55,53057.28,-64.73,32.15,50.22,53120.88,53415.45,1.0,50.0,53726.4,52926.55,54467.35,52817.8,1,150790.02,7485.3,1122.8,166.34,141.39,266.14,166.34,602.03,8.04,HARD_SL (-8.3%),1,1
5FEE3E59,2024-10-03,11:30:00,BANKNIFTY,PUT,0,68,3,PREMIUM,52228.9,52373.66,-144.76,23.4,41.04,52599.72,52909.38,1.0,50.0,53235.25,52817.8,54467.35,51683.4,6,151392.05,18068.4,2710.26,401.52,341.29,642.43,438.33,1220.54,6.76,NO_MOVE,1,1
87C58B8F,2024-11-13,10:30:00,BANKNIFTY,PUT,0,75,3,PREMIUM,50958.8,51090.95,-132.15,32.57,41.63,51261.32,51508.22,1.0,50.0,52169.05,51006.85,52377.25,49904.4,7,152612.59,18990.45,2848.57,422.01,358.71,675.22,461.72,1323.25,6.97,MAX_HOLD,1,1
5A6CF171,2024-12-03,10:30:00,BANKNIFTY,CALL,1,68,3,PREMIUM,52625.8,52477.46,148.34,78.0,36.48,52189.69,52068.51,1.0,50.0,52197.25,51693.95,52780.9,51693.95,1,153935.84,7441.2,1116.18,165.36,140.56,264.58,159.57,-517.09,-6.95,MAX_HOLD,1,0
B3BF9E5B,2024-12-04,09:45:00,BANKNIFTY,CALL,1,75,3,PREMIUM,52961.45,52830.42,131.03,77.09,46.03,52668.83,52451.91,1.0,50.0,52780.9,52216.85,53387.1,51693.95,7,153418.75,19803.15,2970.47,440.07,374.06,704.11,461.51,668.1,3.37,NO_MOVE,1,1
4BF372C6,2024-12-13,09:45:00,BANKNIFTY,PUT,0,68,3,PREMIUM,52805.55,52924.83,-119.28,19.99,50.39,53200.12,53316.63,1.0,50.0,53537.45,53174.4,53775.1,52264.55,5,154086.85,16668.0,2500.2,370.4,314.84,592.64,495.0,5878.73,35.27,MAX_HOLD,1,1
