signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
D5F5B145,2025-05-19,14:15:00,NIFTY,PUT,0,4,24940.35,25006.48,-66.13,1,near_PDH,25062.95,122.6,31.19,15.23,0,1,0,0.0,1.0,25062.95,24919.3,3,100000.0,20347.5,4960.0,135.65,108.52,176.35,132.07,-537.0,-2.64,Hard close (15:00),1,0
A265725E,2025-06-02,13:00:00,NIFTY,CALL,1,4,24685.1,24628.98,56.12,1,near_PDL,24717.4,32.3,69.57,16.75,1,0,0,0.0,1.0,24863.95,24717.4,3,99463.0,20157.0,4933.15,134.38,107.5,174.69,144.68,1545.0,7.66,Hard close (15:00),1,1
842D459D,2025-06-13,13:45:00,NIFTY,CALL,1,4,24735.05,24668.6,66.45,1,near_PDL,24825.9,90.85,74.6,20.84,1,0,0,0.0,1.0,25196.2,24825.9,6,101008.0,19010.0,5010.4,190.1,152.08,247.13,192.12,202.0,1.06,Profit lock (14:00),1,1
82BAD4AA,2025-06-24,13:45:00,NIFTY,PUT,0,4,25043.5,25220.85,-177.35,1,near_PDH,25057.0,13.5,28.96,18.15,0,1,0,0.0,1.0,25057.0,24824.85,2,101210.0,16710.0,5020.5,111.4,89.12,144.82,144.82,5013.0,30.0,Target (1.5×),1,1
A57EF72F,2025-07-16,13:30:00,NIFTY,CALL,1,4,25206.6,25167.51,39.09,1,near_PDH,25245.2,38.6,71.76,21.33,1,0,0,0.0,1.0,25245.2,25088.45,1,106223.0,19797.5,5271.15,79.19,63.35,102.95,94.17,3745.0,18.92,Profit lock (14:00),1,1
4219F391,2025-07-29,13:45:00,NIFTY,CALL,1,4,24758.85,24686.88,71.97,1,near_PDL,24646.6,112.25,73.71,16.01,1,0,0,0.0,1.0,24889.2,24646.6,2,109968.0,22016.0,5458.4,110.08,88.06,143.1,116.65,1314.0,5.97,Profit lock (14:00),1,1
2E013645,2025-07-31,14:30:00,NIFTY,CALL,1,5,24867.15,24800.77,66.38,1,near_PDH,24902.3,35.15,62.44,29.75,1,0,0,0.0,1.0,24902.3,24771.95,7,111282.0,20672.0,5524.1,206.72,165.38,310.08,165.38,-4134.0,-20.0,Stop-loss,1,0
6882F525,2025-09-02,14:30:00,NIFTY,PUT,0,5,24540.7,24698.47,-157.77,1,near_PDH,24635.6,94.9,17.3,25.98,0,1,0,0.0,1.0,24635.6,24432.7,2,107148.0,21844.0,5317.4,109.22,87.38,163.83,117.59,1674.0,7.66,Profit lock (14:00),1,1
D03017D4,2025-09-04,13:45:00,NIFTY,PUT,0,4,24788.3,24834.12,-45.82,1,near_PDH,24737.05,51.25,34.78,19.89,0,1,0,0.0,1.0,24737.05,24533.2,7,108822.0,20587.0,5401.1,205.87,164.7,267.63,211.45,558.0,2.71,Profit lock (14:00),1,1
E6FBC70C,2025-09-23,14:15:00,NIFTY,CALL,1,4,25206.9,25158.71,48.19,1,near_PDH,25331.7,124.8,64.32,20.14,1,0,0,0.0,1.0,25331.7,25151.05,2,109380.0,22394.0,5429.0,111.97,89.58,145.56,117.74,1154.0,5.15,Profit lock (14:00),1,1
