signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
285B39C5,2025-01-15,14:15:00,NIFTY,PUT,0,4,23181.5,23223.34,-41.84,1,near_PDH,23264.95,83.45,39.53,17.08,0,1,0,0.0,1.0,23264.95,23134.15,1,100000.0,18185.0,4960.0,72.74,58.19,94.56,58.19,-3637.5,-20.0,Stop-loss,1,0
FA394210,2025-02-01,13:30:00,NIFTY,PUT,0,5,23442.1,23513.77,-71.67,1,near_PDH,23546.8,104.7,41.76,25.6,0,1,0,0.0,1.0,23546.8,23277.4,5,96362.5,16500.0,4778.12,165.0,132.0,247.5,172.73,773.0,4.68,Hard close (15:00),1,1
86457574,2025-02-12,13:45:00,NIFTY,CALL,1,4,23100.15,22979.6,120.55,1,near_PDL,22986.65,113.5,68.34,13.38,1,0,0,0.0,1.0,23390.05,22986.65,1,97135.5,18060.0,4816.78,72.24,57.79,93.91,57.79,-3612.5,-20.0,Stop-loss,1,0
8F02927D,2025-02-17,14:15:00,NIFTY,CALL,1,4,22886.5,22844.09,42.41,1,near_PDL,22774.85,111.65,55.0,24.91,1,0,0,0.0,1.0,23133.7,22774.85,3,93523.0,18697.5,4636.15,124.65,99.72,162.05,152.57,4188.0,22.4,Hard close (15:00),1,1
C79D2C8C,2025-03-10,14:15:00,NIFTY,PUT,0,4,22548.6,22605.04,-56.44,1,near_PDH,22633.8,85.2,34.52,14.72,0,1,0,0.0,1.0,22633.8,22464.75,3,97711.0,18327.0,4845.55,122.18,97.74,158.83,134.18,1800.0,9.82,Profit lock (14:00),1,1
A0376285,2025-03-11,13:30:00,NIFTY,CALL,1,4,22462.4,22428.43,33.97,1,near_PDL,22429.05,33.35,69.82,14.16,1,0,0,0.0,1.0,22676.75,22429.05,2,99511.0,19962.0,4935.55,99.81,79.85,129.75,113.94,2826.0,14.16,Profit lock (14:00),1,1
