signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
A391179D,2024-01-01,14:00:00,NIFTY,CALL,1,4,21764.85,21730.66,34.19,1,near_PDH,21793.9,29.05,65.9,18.09,1,0,0,0.0,1.0,21793.9,21684.05,3,100000.0,17781.0,4960.0,118.54,94.83,154.1,119.56,153.0,0.86,Profit lock (14:00),1,1
A946CD1B,2024-01-01,14:15:00,NIFTY,CALL,1,4,21792.65,21733.3,59.35,1,near_PDH,21801.2,8.55,72.5,22.65,1,0,0,0.0,1.0,21801.2,21684.05,3,100153.0,,,118.55,94.84,177.82,,,,shadow_not_traded,0,0
96DAC41F,2024-01-01,14:30:00,NIFTY,CALL,1,4,21794.25,21736.18,58.07,1,near_PDH,21818.95,24.7,72.82,26.94,1,0,0,0.0,1.0,21818.95,21684.05,3,100153.0,,,118.67,94.94,178.0,,,,shadow_not_traded,0,0
7AF13974,2024-01-04,13:45:00,NIFTY,CALL,1,3,21665.9,21641.82,24.08,1,near_PDH,21677.0,11.1,66.21,26.72,1,0,0,0.0,1.0,21677.0,21500.35,7,100153.0,,,179.97,143.98,269.95,,,,shadow_not_traded,0,1
79B2D385,2024-01-04,14:00:00,NIFTY,CALL,1,3,21660.6,21642.88,17.72,1,near_PDH,21677.0,16.4,61.8,28.99,1,0,0,0.0,1.0,21677.0,21500.35,7,100153.0,,,179.93,143.94,269.89,,,,shadow_not_traded,0,1
40558A51,2024-01-04,14:15:00,NIFTY,CALL,1,3,21654.7,21643.57,11.13,1,near_PDH,21677.0,22.3,57.23,29.28,1,0,0,0.0,1.0,21677.0,21500.35,7,100153.0,,,179.88,143.9,269.82,,,,shadow_not_traded,0,1
3CA5F404,2024-01-05,13:15:00,NIFTY,PUT,0,3,21695.85,21703.19,-7.34,1,near_PDH,21685.65,10.2,44.47,15.19,0,1,0,0.0,1.0,21685.65,21564.55,6,100153.0,,,166.88,133.5,250.32,,,,shadow_not_traded,0,0
0C4B2B82,2024-01-05,13:30:00,NIFTY,PUT,0,3,21692.85,21702.61,-9.76,1,near_PDH,21685.65,7.2,43.01,18.56,0,1,0,0.0,1.0,21685.65,21564.55,6,100153.0,,,166.78,133.42,250.17,,,,shadow_not_traded,0,0
158B0EB8,2024-01-05,13:45:00,NIFTY,PUT,0,3,21680.1,21701.47,-21.38,1,near_PDH,21685.65,5.55,37.39,22.57,0,1,0,0.0,1.0,21685.65,21564.55,6,100153.0,,,166.77,133.42,250.16,,,,shadow_not_traded,0,0
64B631F0,2024-01-05,14:00:00,NIFTY,PUT,0,4,21679.35,21700.09,-20.74,1,near_PDH,21685.65,6.3,37.08,26.38,0,1,0,0.0,1.0,21685.65,21564.55,6,100153.0,,,166.54,133.23,249.81,,,,shadow_not_traded,0,0
A3FF7082,2024-01-05,14:15:00,NIFTY,PUT,0,5,21649.2,21697.97,-48.77,1,near_PDH,21685.65,36.45,27.35,30.43,0,1,0,0.0,1.0,21685.65,21564.55,6,100153.0,16649.0,4967.65,166.49,133.19,249.74,133.19,-3330.0,-20.0,Stop-loss,1,0
EF5B5541,2024-01-05,14:30:00,NIFTY,PUT,0,5,21643.15,21695.36,-52.21,1,near_PDH,21685.65,42.5,25.88,34.38,0,1,0,0.0,1.0,21685.65,21564.55,6,100153.0,,,166.77,133.42,250.16,,,,shadow_not_traded,0,0
6C16CD04,2024-01-08,13:15:00,NIFTY,PUT,0,3,21575.8,21636.96,-61.16,1,near_PDL,21629.2,53.4,30.94,14.4,0,1,0,0.0,1.0,21749.6,21629.2,3,96823.0,,,117.4,93.92,176.1,,,,shadow_not_traded,0,1
FC037BF4,2024-01-08,13:30:00,NIFTY,PUT,0,3,21582.45,21633.77,-51.32,1,near_PDL,21629.2,46.75,33.18,17.46,0,1,0,0.0,1.0,21749.6,21629.2,3,96823.0,,,117.29,93.83,175.94,,,,shadow_not_traded,0,1
B4ED4BBF,2024-01-08,13:45:00,NIFTY,PUT,0,3,21562.2,21630.35,-68.15,1,near_PDL,21629.2,67.0,29.99,20.63,0,1,0,0.0,1.0,21749.6,21629.2,3,96823.0,,,117.41,93.93,176.12,,,,shadow_not_traded,0,1
07796479,2024-01-08,14:00:00,NIFTY,PUT,0,3,21585.25,21627.4,-42.15,1,near_PDL,21629.2,43.95,37.38,23.6,0,1,0,0.0,1.0,21749.6,21629.2,3,96823.0,,,117.42,93.94,176.13,,,,shadow_not_traded,0,1
04C1B806,2024-01-08,14:15:00,NIFTY,PUT,0,3,21587.2,21625.42,-38.22,1,near_PDL,21629.2,42.0,37.97,24.96,0,1,0,0.0,1.0,21749.6,21629.2,3,96823.0,,,117.22,93.78,175.83,,,,shadow_not_traded,0,1
AAA7B219,2024-01-08,14:30:00,NIFTY,PUT,0,4,21549.85,21622.46,-72.61,1,near_PDL,21629.2,79.35,31.74,27.09,0,1,0,0.0,1.0,21749.6,21629.2,3,96823.0,,,117.09,93.67,175.63,,,,shadow_not_traded,0,1
1436015E,2024-01-11,13:45:00,NIFTY,PUT,0,3,21664.25,21667.56,-3.31,1,near_PDH,21641.85,22.4,37.04,14.51,0,1,0,0.0,1.0,21641.85,21448.65,7,96823.0,,,180.02,144.02,270.03,,,,shadow_not_traded,0,0
E418E75F,2024-01-11,14:00:00,NIFTY,PUT,0,3,21665.55,21667.4,-1.85,1,near_PDH,21641.85,23.7,38.7,15.67,0,1,0,0.0,1.0,21641.85,21448.65,7,96823.0,,,179.53,143.62,269.3,,,,shadow_not_traded,0,0
B962A434,2024-01-11,14:15:00,NIFTY,PUT,0,4,21606.3,21665.22,-58.92,1,near_PDH,21641.85,35.55,16.87,20.43,0,1,0,0.0,1.0,21641.85,21448.65,7,96823.0,17991.0,4801.15,179.91,143.93,233.88,182.28,237.0,1.32,Profit lock (14:00),1,1
03D031D8,2024-01-11,14:30:00,NIFTY,PUT,0,3,21652.8,21663.82,-11.02,1,near_PDH,21641.85,10.95,43.71,24.66,0,1,0,0.0,1.0,21641.85,21448.65,7,97060.0,,,179.87,143.9,269.81,,,,shadow_not_traded,0,0
4BC37451,2024-01-12,13:30:00,NIFTY,CALL,1,3,21856.75,21814.96,41.79,0,,0.0,,79.65,22.38,1,0,0,0.0,1.0,21726.5,21593.75,6,97060.0,,,168.38,134.7,252.57,,,,shadow_not_traded,0,1
