signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
3439E29D,2025-06-03,14:00:00,BANKNIFTY,PUT,0,4,55606.95,55720.72,-113.77,1,50.0,55683.43,76.48,40.11,17.11,0,1,0,0.0,1.0,55966.3,55400.55,1,100000.0,13107.75,2960.0,174.77,139.82,227.2,203.27,2137.5,16.31,Profit lock (14:00),1,1
8481A6ED,2025-06-17,13:00:00,BANKNIFTY,PUT,0,4,55680.3,55818.03,-137.73,1,50.0,55690.65,10.35,14.2,13.07,0,1,0,0.0,1.0,55999.85,55381.45,1,102137.5,13116.75,3024.12,174.89,139.91,227.36,139.91,-2623.5,-20.0,Stop-loss,1,0
163A63A9,2025-06-30,14:15:00,BANKNIFTY,PUT,0,4,57248.15,57384.68,-136.53,1,50.0,57234.62,13.53,31.0,10.42,0,1,0,0.0,1.0,57475.4,56993.85,2,99514.0,11438.55,2945.42,254.19,203.35,330.45,203.35,-2287.8,-20.0,Stop-loss,1,0
6F96B14D,2025-07-01,13:30:00,BANKNIFTY,CALL,1,4,57426.95,57290.81,136.14,1,50.0,57404.15,22.8,69.42,14.28,1,0,0,0.0,1.0,57614.5,57193.8,1,97226.2,10827.0,2876.79,180.45,144.36,234.58,216.97,2191.2,20.24,Profit lock (14:00),1,1
9FB2198F,2025-07-17,13:15:00,BANKNIFTY,PUT,0,4,56896.3,56984.16,-87.86,1,50.0,56921.38,25.08,26.24,14.06,0,1,0,0.0,1.0,57134.95,56707.8,6,99417.4,13129.5,2942.52,437.65,350.12,568.94,452.0,430.5,3.28,Profit lock (14:00),1,1
AE9C1943,2025-07-22,14:30:00,BANKNIFTY,PUT,0,5,56777.05,56926.82,-149.77,1,38.2,56705.45,71.6,25.75,26.89,0,1,0,0.0,1.0,56983.45,56255.7,1,99847.9,10704.6,2955.44,178.41,142.73,267.62,183.01,276.0,2.58,Profit lock (14:00),1,1
CB4BDAFA,2025-07-23,13:00:00,BANKNIFTY,CALL,1,4,57027.95,56860.85,167.1,1,50.0,56989.07,38.88,79.64,14.75,1,0,0,0.0,1.0,57286.15,56692.0,7,100123.9,7110.6,2963.72,474.04,379.23,616.25,545.94,1078.5,15.17,Profit lock (14:00),1,1
CF94DF15,2025-07-29,14:15:00,BANKNIFTY,CALL,1,5,56251.35,56045.49,205.86,1,50.0,56287.93,36.58,74.5,21.91,1,0,0,0.0,1.0,56578.4,55997.45,1,101202.4,13254.0,2996.07,176.72,141.38,265.08,141.38,-2650.5,-20.0,Stop-loss,1,0
AED03D96,2025-08-11,13:45:00,BANKNIFTY,CALL,1,4,55315.5,55214.89,100.61,1,50.0,55279.1,36.4,63.79,10.73,1,0,0,0.0,1.0,55652.6,54905.6,2,98551.9,11060.55,2916.56,245.79,196.63,319.53,277.56,1429.65,12.93,Profit lock (14:00),1,1
B688CBF1,2025-08-19,13:00:00,BANKNIFTY,CALL,1,4,55899.45,55780.75,118.7,1,50.0,55901.98,2.53,73.17,11.16,1,0,0,0.0,1.0,56156.3,55647.65,1,99981.55,13169.25,2959.45,175.59,140.47,228.27,140.47,-2634.0,-20.0,Stop-loss,1,0
ABA8C63D,2025-09-03,14:30:00,BANKNIFTY,CALL,1,4,53891.45,53739.63,151.82,1,50.0,53869.47,21.98,66.09,11.73,1,0,0,0.0,1.0,54160.95,53578.0,7,97347.55,13443.3,2880.43,448.11,358.49,582.54,473.01,747.0,5.56,Profit lock (14:00),1,1
